loan_id,rider_id,battery_id,due_date,paid_date,amount_due_kes,amount_paid_kes,status
loan_0000,rider_0000,battery_0000,2026-01-01,2026-01-01,460,460,on_time
loan_0000,rider_0000,battery_0000,2026-01-02,2026-01-02,460,460,on_time
loan_0000,rider_0000,battery_0000,2026-01-03,2026-01-03,460,460,on_time
loan_0000,rider_0000,battery_0000,2026-01-04,2026-01-04,460,460,on_time
loan_0000,rider_0000,battery_0000,2026-01-05,2026-01-05,460,460,on_time
loan_0000,rider_0000,battery_0000,2026-01-06,2026-01-06,460,460,on_time
loan_0000,rider_0000,battery_0000,2026-01-07,2026-01-07,460,460,on_time
loan_0000,rider_0000,battery_0000,2026-01-08,2026-01-08,460,460,on_time
loan_0000,rider_0000,battery_0000,2026-01-09,2026-01-09,460,460,on_time
loan_0000,rider_0000,battery_0000,2026-01-10,2026-01-10,460,460,on_time
