battery_id,reading_at,state_of_charge,voltage,temperature_c,cycle_count,depth_of_discharge,distance_km_since_last
battery_0000,2026-01-01,33.6,53.05,18.3,1,33.9,89.6
battery_0000,2026-01-02,33.7,53.89,28.5,2,20.5,95.8
battery_0000,2026-01-03,96.4,51.37,19.2,3,26.8,87.8
battery_0000,2026-01-04,83.6,55.3,25.0,4,88.1,102.8
battery_0000,2026-01-05,88.2,53.77,27.2,5,23.2,106.1
battery_0000,2026-01-06,21.8,50.33,19.3,6,39.5,70.8
battery_0000,2026-01-07,37.7,57.37,26.4,7,62.6,84.8
battery_0000,2026-01-08,28.9,51.79,30.9,8,64.8,103.0
battery_0000,2026-01-09,34.5,48.32,22.1,9,38.7,111.5
battery_0000,2026-01-11,70.7,51.96,29.9,10,52.1,66.6
